week,activation_id,restaurant_name,location_name,activation_description,minimum_spend_threshold,reward_amount,activation_start,activation_end,unique_users_count,unique_users_count_REDEEMED,total_tpv,median_check,tpv_vs_baseline,median_check_vs_baseline,marketing_spend,remaining_group_budget,new_users_count,returning_users_count,new_user_percentage,notes
Week 3,"25,865, 25,864, 25,863",Mayflower,Clinton Hill,"Spend $50 with Blackbird Pay, get $25 in $FLY back",50.0,25.0,2025-11-10 17:00:00,2025-11-13 00:00:00,0,0,0.0,,,,0.0,0.0,0,0,,No transactions during activation period
Week 2,"25,879, 25,878",Momoya,SoHo,"Spend $35 with Blackbird Pay, get $15 in $FLY back",35.0,15.0,2025-11-06 12:00:00,2025-11-13 22:00:00,7,7,328.33,41.19,-77.42,-50.81,105.0,2320.0,2,5,28.57,
Week 3,"25,879, 25,878",Momoya,SoHo,"Spend $35 with Blackbird Pay, get $15 in $FLY back",35.0,15.0,2025-11-06 12:00:00,2025-11-13 22:00:00,5,5,410.54,30.66,-77.85,-62.77,75.0,2320.0,4,1,80.0,
Week 1,"25,741, 25,740, 25,739, 25,738, 25,737, 25,736, 25,735, 25,734, 25,733, 25,732",Narkara,Narkara,"Spend $100 or more, earn $50 in $FLY",100.0,50.0,2025-11-02 17:00:00,2025-11-13 22:00:00,22,21,3007.66,110.71,1296.31,-48.6,1050.0,0.0,22,0,100.0,
Week 2,"25,741, 25,740, 25,739, 25,738, 25,737, 25,736, 25,735, 25,734, 25,733, 25,732",Narkara,Narkara,"Spend $100 or more, earn $50 in $FLY",100.0,50.0,2025-11-02 17:00:00,2025-11-13 22:00:00,10,6,1239.68,64.75,475.52,-69.94,300.0,0.0,9,1,90.0,
Week 3,"25,741, 25,740, 25,739, 25,738, 25,737, 25,736, 25,735, 25,734, 25,733, 25,732",Narkara,Narkara,"Spend $100 or more, earn $50 in $FLY",100.0,50.0,2025-11-02 17:00:00,2025-11-13 22:00:00,13,10,1731.16,107.36,703.7,-50.16,500.0,0.0,12,1,92.31,
Week 1,"25,022, 25,021, 25,020",Nopalito,NOPA,"Spend $55 with Blackbird Pay, get $20 in $FLY back",55.0,20.0,2025-10-29 16:30:00,2025-11-12 21:00:00,0,0,0.0,,,,0.0,5000.0,0,0,,No transactions during activation period
Week 2,"25,022, 25,021, 25,020",Nopalito,NOPA,"Spend $55 with Blackbird Pay, get $20 in $FLY back",55.0,20.0,2025-10-29 16:30:00,2025-11-12 21:00:00,0,0,0.0,,,,0.0,5000.0,0,0,,No transactions during activation period
Week 3,"25,022, 25,021, 25,020",Nopalito,NOPA,"Spend $55 with Blackbird Pay, get $20 in $FLY back",55.0,20.0,2025-10-29 16:30:00,2025-11-12 21:00:00,0,0,0.0,,,,0.0,5000.0,0,0,,No transactions during activation period
Week 1,"25,650, 25,649, 25,648, 25,647, 25,646, 25,643, 25,642, 25,641, 25,640, 25,639, 25,636, 25,635",Olmo,Bedford-Stuyvesant,"Spend $100 or more, earn $50 in $FLY",100.0,50.0,2025-11-01 17:00:00,2025-11-16 22:00:00,7,7,923.02,112.9,88.06,81.42,350.0,1450.0,7,0,100.0,
Week 2,"25,650, 25,649, 25,648, 25,647, 25,646, 25,643, 25,642, 25,641, 25,640, 25,639, 25,636, 25,635",Olmo,Bedford-Stuyvesant,"Spend $100 or more, earn $50 in $FLY",100.0,50.0,2025-11-01 17:00:00,2025-11-16 22:00:00,9,8,1292.36,127.35,210.4,79.56,400.0,1450.0,7,2,77.78,
Week 3,"25,650, 25,649, 25,648, 25,647, 25,646, 25,643, 25,642, 25,641, 25,640, 25,639, 25,636, 25,635",Olmo,Bedford-Stuyvesant,"Spend $100 or more, earn $50 in $FLY",100.0,50.0,2025-11-01 17:00:00,2025-11-16 22:00:00,6,6,1135.73,142.13,277.45,20.91,300.0,1450.0,6,0,100.0,
Week 3,"26,295, 26,294, 26,293, 26,292, 26,291",Oodle Yunnan Rice Noodle,Outer Richmond,Spend $20+ Get $10 in Flyback!,20.0,10.0,2025-11-12 11:00:00,2025-11-16 20:00:00,6,6,199.24,19.74,201.56,-37.83,60.0,0.0,6,0,100.0,
Week 1,"25,416, 25,415, 25,414, 25,413, 25,412, 25,411",Palm House,Marina,"Spend $55 with Blackbird Pay, get $20 in $FLY back",55.0,20.0,2025-11-01 10:30:00,2025-11-16 15:00:00,0,0,0.0,,,,0.0,5000.0,0,0,,No transactions during activation period
Week 2,"25,416, 25,415, 25,414, 25,413, 25,412, 25,411",Palm House,Marina,"Spend $55 with Blackbird Pay, get $20 in $FLY back",55.0,20.0,2025-11-01 10:30:00,2025-11-16 15:00:00,0,0,0.0,,,,0.0,5000.0,0,0,,No transactions during activation period
Week 3,"25,416, 25,415, 25,414, 25,413, 25,412, 25,411",Palm House,Marina,"Spend $55 with Blackbird Pay, get $20 in $FLY back",55.0,20.0,2025-11-01 10:30:00,2025-11-16 15:00:00,0,0,0.0,,,,0.0,5000.0,0,0,,No transactions during activation period
Week 2,"26,312, 26,311, 26,310, 26,309, 26,308, 25,076, 25,075, 25,074, 25,073, 25,072, 25,071, 25,070, 25,069, 25,068",Paper Son Coffee ,Paper Son Coffee - Dogpatch,"Spend $25 with Blackbird Pay, get $25 in $FLY back",25.0,25.0,2025-11-03 10:00:00,2025-11-16 14:00:00,16,10,345.3,25.0,104.32,277.36,250.0,6450.0,12,4,75.0,
Week 3,"26,312, 26,311, 26,310, 26,309, 26,308, 25,076, 25,075, 25,074, 25,073, 25,072, 25,071, 25,070, 25,069, 25,068",Paper Son Coffee ,Paper Son Coffee - Dogpatch,"Spend $25 with Blackbird Pay, get $25 in $FLY back",25.0,25.0,2025-11-03 10:00:00,2025-11-16 14:00:00,18,10,431.88,23.75,102.68,258.49,250.0,6450.0,8,10,44.44,
Week 2,"25,067, 25,066",Paper Son Coffee ,SOMA,"Spend $25 with Blackbird Pay, get $25 in $FLY back",25.0,25.0,2025-11-03 10:00:00,2025-11-10 14:00:00,24,17,576.29,26.07,-63.61,259.59,425.0,6450.0,6,18,25.0,
Week 3,"25,067, 25,066",Paper Son Coffee ,SOMA,"Spend $25 with Blackbird Pay, get $25 in $FLY back",25.0,25.0,2025-11-03 10:00:00,2025-11-10 14:00:00,9,5,180.74,25.0,-88.54,244.83,125.0,6450.0,2,7,22.22,
Week 1,"25,295, 25,294, 25,293, 25,292, 25,291, 25,290",Park & Grove,Downtown,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-29 13:00:00,2025-11-14 17:00:00,5,2,242.29,27.18,-90.42,-26.13,20.0,4710.0,1,4,20.0,
Week 2,"25,295, 25,294, 25,293, 25,292, 25,291, 25,290",Park & Grove,Downtown,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-29 13:00:00,2025-11-14 17:00:00,10,8,595.73,39.77,-77.39,1.25,80.0,4710.0,5,5,50.0,
Week 3,"25,295, 25,294, 25,293, 25,292, 25,291, 25,290",Park & Grove,Downtown,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-29 13:00:00,2025-11-14 17:00:00,4,1,128.67,29.48,-95.46,-29.73,10.0,4710.0,2,2,50.0,
Week 1,"24,861",Peck Slip Social,Seaport,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-11-01 12:00:00,2025-11-01 16:00:00,0,0,0.0,,,,0.0,5000.0,0,0,,No transactions during activation period
Week 1,"25,018, 25,017, 25,016",Rancho Lewis,NoMo,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-28 11:00:00,2025-11-11 15:00:00,5,5,262.56,32.58,-93.97,3.76,50.0,4770.0,1,4,20.0,
Week 2,"25,018, 25,017, 25,016",Rancho Lewis,NoMo,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-28 11:00:00,2025-11-11 15:00:00,6,5,298.7,60.66,-92.76,102.91,50.0,4770.0,2,4,33.33,
Week 3,"25,018, 25,017, 25,016",Rancho Lewis,NoMo,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-28 11:00:00,2025-11-11 15:00:00,4,4,262.69,52.02,-93.87,63.41,40.0,4770.0,4,0,100.0,
Week 1,"25,461, 25,460, 25,459",Rosalind Bakery,Financial District,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-10-27 11:00:00,2025-11-10 15:00:00,1,0,18.0,18.0,-91.01,118.18,0.0,2500.0,0,1,0.0,
Week 2,"25,461, 25,460, 25,459",Rosalind Bakery,Financial District,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-10-27 11:00:00,2025-11-10 15:00:00,1,0,4.0,4.0,-97.02,-52.94,0.0,2500.0,1,0,100.0,
Week 3,"25,461, 25,460, 25,459",Rosalind Bakery,Financial District,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-10-27 11:00:00,2025-11-10 15:00:00,0,0,0.0,,,,0.0,2500.0,0,0,,No transactions during activation period
Week 1,"25,012, 25,011, 25,010",Rudy Royale,Rudy Royale,"Spend $55 with Blackbird Pay, get $20 in $FLY back",55.0,20.0,2025-11-02 10:00:00,2025-11-16 14:00:00,4,3,305.08,50.82,-78.97,193.45,60.0,4480.0,3,1,75.0,
Week 2,"25,012, 25,011, 25,010",Rudy Royale,Rudy Royale,"Spend $55 with Blackbird Pay, get $20 in $FLY back",55.0,20.0,2025-11-02 10:00:00,2025-11-16 14:00:00,1,0,49.77,24.88,-96.56,48.97,0.0,4480.0,1,0,100.0,
Week 3,"25,012, 25,011, 25,010",Rudy Royale,Rudy Royale,"Spend $55 with Blackbird Pay, get $20 in $FLY back",55.0,20.0,2025-11-02 10:00:00,2025-11-16 14:00:00,6,5,419.14,49.22,-67.75,205.9,100.0,4480.0,5,1,83.33,
Week 1,"24,774, 24,773, 24,772, 24,771",Sagaponack General Store,Sagaponack,"Spend $10, get a pastry on us (Blackbird Pay)",10.0,0.0,2025-10-27 07:00:00,2025-11-07 19:00:00,8,5,194.1,14.4,-83.83,-36.81,0.0,1600.0,1,7,12.5,
Week 2,"24,774, 24,773, 24,772, 24,771",Sagaponack General Store,Sagaponack,"Spend $10, get a pastry on us (Blackbird Pay)",10.0,0.0,2025-10-27 07:00:00,2025-11-07 19:00:00,8,7,198.54,14.92,-85.71,-47.28,0.0,1600.0,2,6,25.0,
Week 1,"24,797, 24,796, 24,795, 24,794, 24,793, 24,792, 24,791, 24,790, 24,789, 24,787, 24,786, 24,785, 24,783, 24,782, 24,780, 24,779",Sagaponack General Store,Sagaponack,Spend $100 get $50 in $FLY,100.0,50.0,2025-10-29 07:00:00,2025-11-16 19:00:00,15,5,1129.16,38.82,-5.92,70.34,300.0,1600.0,3,12,20.0,
Week 2,"24,797, 24,796, 24,795, 24,794, 24,793, 24,792, 24,791, 24,790, 24,789, 24,787, 24,786, 24,785, 24,783, 24,782, 24,780, 24,779",Sagaponack General Store,Sagaponack,Spend $100 get $50 in $FLY,100.0,50.0,2025-10-29 07:00:00,2025-11-16 19:00:00,13,3,614.05,23.8,-55.81,-15.87,150.0,1600.0,5,8,38.46,
Week 3,"24,797, 24,796, 24,795, 24,794, 24,793, 24,792, 24,791, 24,790, 24,789, 24,787, 24,786, 24,785, 24,783, 24,782, 24,780, 24,779",Sagaponack General Store,Sagaponack,Spend $100 get $50 in $FLY,100.0,50.0,2025-10-29 07:00:00,2025-11-16 19:00:00,25,7,1878.31,24.23,6.71,-28.29,400.0,1600.0,6,19,24.0,
Week 3,"26,325, 26,324",Sereneco,Greenpoint,"Spend $100 with Blackbird Pay, get $50 in $FLY back",100.0,50.0,2025-11-15 08:30:00,2025-11-16 21:00:00,9,8,1198.72,125.42,140.73,273.58,400.0,4600.0,7,2,77.78,
Week 1,"22,945",Spicy Moon,Chelsea,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-28 13:00:00,2025-10-28 17:00:00,1,1,54.24,54.24,,,10.0,4940.0,1,0,100.0,
Week 1,"22,955",Spicy Moon,East Village,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-28 13:00:00,2025-10-28 17:00:00,1,1,45.6,45.6,,,10.0,4940.0,1,0,100.0,
Week 1,"22,965",Spicy Moon,Greenwich Village,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-28 13:00:00,2025-10-28 17:00:00,0,0,0.0,,,,0.0,4940.0,0,0,,No transactions during activation period
Week 1,"22,960",Spicy Moon,Lower East Side,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-28 13:00:00,2025-10-28 17:00:00,1,1,65.26,65.26,,,10.0,4940.0,1,0,100.0,
Week 1,"25,407, 25,406, 25,405",Spike's Coffees and Teas,The Castro,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-10-29 13:00:00,2025-11-12 17:00:00,4,0,21.6,3.02,-93.73,-53.27,0.0,2500.0,0,4,0.0,
Week 2,"25,407, 25,406, 25,405",Spike's Coffees and Teas,The Castro,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-10-29 13:00:00,2025-11-12 17:00:00,3,0,27.29,7.0,-92.45,6.46,0.0,2500.0,0,3,0.0,
Week 3,"25,407, 25,406, 25,405",Spike's Coffees and Teas,The Castro,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-10-29 13:00:00,2025-11-12 17:00:00,1,0,32.36,16.18,-90.98,142.85,0.0,2500.0,0,1,0.0,
Week 1,"22,602",Stars Rooftop,Radcliffborough,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-10-29 20:00:00,2025-10-30 00:00:00,0,0,0.0,,,,0.0,4480.0,0,0,,No transactions during activation period
Week 1,"25,262, 25,261, 25,260, 25,259, 25,258, 25,257, 25,256, 25,255, 25,254",Taco Boy,Downtown,"Spend $50 with Blackbird Pay, get $20 in $FLY back",50.0,20.0,2025-10-28 11:00:00,2025-11-13 15:00:00,7,1,242.2,23.28,-90.49,-24.18,20.0,4710.0,4,3,57.14,
Week 2,"25,262, 25,261, 25,260, 25,259, 25,258, 25,257, 25,256, 25,255, 25,254",Taco Boy,Downtown,"Spend $50 with Blackbird Pay, get $20 in $FLY back",50.0,20.0,2025-10-28 11:00:00,2025-11-13 15:00:00,7,2,231.96,22.63,-90.69,-26.78,40.0,4710.0,4,3,57.14,
Week 3,"25,262, 25,261, 25,260, 25,259, 25,258, 25,257, 25,256, 25,255, 25,254",Taco Boy,Downtown,"Spend $50 with Blackbird Pay, get $20 in $FLY back",50.0,20.0,2025-10-28 11:00:00,2025-11-13 15:00:00,6,3,378.32,47.5,-87.36,50.37,60.0,4710.0,2,4,33.33,
Week 1,"25,274, 25,273, 25,272, 25,271, 25,270, 25,269, 25,268, 25,267, 25,266",Taco Boy,Folly Beach,"Spend $50 with Blackbird Pay, get $20 in $FLY back",50.0,20.0,2025-10-28 12:00:00,2025-11-13 15:00:00,1,0,6.86,6.86,-99.24,-73.47,0.0,4710.0,0,1,0.0,
Week 2,"25,274, 25,273, 25,272, 25,271, 25,270, 25,269, 25,268, 25,267, 25,266",Taco Boy,Folly Beach,"Spend $50 with Blackbird Pay, get $20 in $FLY back",50.0,20.0,2025-10-28 12:00:00,2025-11-13 15:00:00,0,0,0.0,,,,0.0,4710.0,0,0,,No transactions during activation period
Week 3,"25,274, 25,273, 25,272, 25,271, 25,270, 25,269, 25,268, 25,267, 25,266",Taco Boy,Folly Beach,"Spend $50 with Blackbird Pay, get $20 in $FLY back",50.0,20.0,2025-10-28 12:00:00,2025-11-13 15:00:00,0,0,0.0,,,,0.0,4710.0,0,0,,No transactions during activation period
Week 1,"25,286, 25,285, 25,284, 25,283, 25,282, 25,281, 25,280, 25,279, 25,278",Taco Boy,Summerville,"Spend $50 with Blackbird Pay, get $20 in $FLY back",50.0,20.0,2025-10-28 11:00:00,2025-11-13 15:00:00,2,0,29.04,14.52,-96.6,-55.24,0.0,4710.0,2,0,100.0,
Week 2,"25,286, 25,285, 25,284, 25,283, 25,282, 25,281, 25,280, 25,279, 25,278",Taco Boy,Summerville,"Spend $50 with Blackbird Pay, get $20 in $FLY back",50.0,20.0,2025-10-28 11:00:00,2025-11-13 15:00:00,0,0,0.0,,,,0.0,4710.0,0,0,,No transactions during activation period
Week 3,"25,286, 25,285, 25,284, 25,283, 25,282, 25,281, 25,280, 25,279, 25,278",Taco Boy,Summerville,"Spend $50 with Blackbird Pay, get $20 in $FLY back",50.0,20.0,2025-10-28 11:00:00,2025-11-13 15:00:00,4,3,218.08,59.64,-71.82,84.76,60.0,4710.0,2,2,50.0,
Week 1,"25,044, 25,043, 25,042",Tacolicious,Marina,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-29 12:00:00,2025-11-12 16:00:00,1,1,75.75,75.75,-84.02,123.78,10.0,7490.0,1,0,100.0,
Week 2,"25,044, 25,043, 25,042",Tacolicious,Marina,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-29 12:00:00,2025-11-12 16:00:00,0,0,0.0,,,,0.0,7490.0,0,0,,No transactions during activation period
Week 3,"25,044, 25,043, 25,042",Tacolicious,Marina,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-29 12:00:00,2025-11-12 16:00:00,0,0,0.0,,,,0.0,7490.0,0,0,,No transactions during activation period
Week 1,"25,048, 25,047, 25,046",Tacolicious,Mission,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-29 12:00:00,2025-11-12 16:00:00,0,0,0.0,,,,0.0,7490.0,0,0,,No transactions during activation period
Week 2,"25,048, 25,047, 25,046",Tacolicious,Mission,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-29 12:00:00,2025-11-12 16:00:00,0,0,0.0,,,,0.0,7490.0,0,0,,No transactions during activation period
Week 3,"25,048, 25,047, 25,046",Tacolicious,Mission,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-10-29 12:00:00,2025-11-12 16:00:00,0,0,0.0,,,,0.0,7490.0,0,0,,No transactions during activation period
Week 1,"25,457, 25,456, 25,455",The Archer,East Central,"Spend $80 with Blackbird Pay, get $25 in $FLY back",80.0,25.0,2025-10-30 17:00:00,2025-11-13 21:00:00,4,4,472.75,89.21,-86.19,93.26,100.0,4725.0,3,1,75.0,
Week 2,"25,457, 25,456, 25,455",The Archer,East Central,"Spend $80 with Blackbird Pay, get $25 in $FLY back",80.0,25.0,2025-10-30 17:00:00,2025-11-13 21:00:00,6,3,728.21,45.78,-78.2,-4.36,75.0,4725.0,3,3,50.0,
Week 3,"25,457, 25,456, 25,455",The Archer,East Central,"Spend $80 with Blackbird Pay, get $25 in $FLY back",80.0,25.0,2025-10-30 17:00:00,2025-11-13 21:00:00,5,4,457.27,51.02,-86.59,8.07,100.0,4725.0,4,1,80.0,
Week 1,"25,438, 25,437, 25,436",The Bar at The Spectator,French Quarter,"Spend $30 with Blackbird Pay, receive $10 FLY back",30.0,10.0,2025-10-29 15:00:00,2025-11-12 22:00:00,1,1,86.29,86.29,50.95,169.82,10.0,4795.0,0,1,0.0,
Week 2,"25,438, 25,437, 25,436",The Bar at The Spectator,French Quarter,"Spend $30 with Blackbird Pay, receive $10 FLY back",30.0,10.0,2025-10-29 15:00:00,2025-11-12 22:00:00,1,0,24.65,24.65,-56.88,-22.92,0.0,4795.0,1,0,100.0,
Week 3,"25,438, 25,437, 25,436",The Bar at The Spectator,French Quarter,"Spend $30 with Blackbird Pay, receive $10 FLY back",30.0,10.0,2025-10-29 15:00:00,2025-11-12 22:00:00,2,2,167.43,83.72,211.41,192.1,20.0,4795.0,2,0,100.0,
Week 1,"25,435, 25,434, 25,433",The Bar at The Spectator,French Quarter,"Spend $50 with Blackbird Pay, receive $25 FLY back",50.0,25.0,2025-10-27 15:00:00,2025-11-10 18:00:00,3,3,201.02,64.1,251.66,100.45,75.0,4795.0,3,0,100.0,
Week 2,"25,435, 25,434, 25,433",The Bar at The Spectator,French Quarter,"Spend $50 with Blackbird Pay, receive $25 FLY back",50.0,25.0,2025-10-27 15:00:00,2025-11-10 18:00:00,2,2,144.34,61.49,152.5,92.28,50.0,4795.0,2,0,100.0,
Week 3,"25,435, 25,434, 25,433",The Bar at The Spectator,French Quarter,"Spend $50 with Blackbird Pay, receive $25 FLY back",50.0,25.0,2025-10-27 15:00:00,2025-11-10 18:00:00,2,2,124.66,28.8,131.86,0.49,50.0,4795.0,2,0,100.0,
Week 2,"25,313, 25,316, 25,315, 25,314, 25,312, 25,311, 25,309, 25,308",The Blue Light,Pacific Heights,"Spend $40 with Blackbird Pay, get $15 in $FLY back",40.0,15.0,2025-11-03 18:00:00,2025-11-14 18:00:00,0,0,0.0,,,,0.0,4985.0,0,0,,No transactions during activation period
Week 3,"25,313, 25,316, 25,315, 25,314, 25,312, 25,311, 25,309, 25,308",The Blue Light,Pacific Heights,"Spend $40 with Blackbird Pay, get $15 in $FLY back",40.0,15.0,2025-11-03 18:00:00,2025-11-14 18:00:00,1,1,72.26,72.26,-24.82,183.37,15.0,4985.0,0,1,0.0,
Week 1,"24,676, 24,675, 24,674",The Greats of Craft,LIC,"Spend $35 with Blackbird Pay, get $15 in $FLY back",35.0,15.0,2025-10-29 11:00:00,2025-11-12 15:00:00,0,0,0.0,,,,0.0,4985.0,0,0,,No transactions during activation period
Week 2,"24,676, 24,675, 24,674",The Greats of Craft,LIC,"Spend $35 with Blackbird Pay, get $15 in $FLY back",35.0,15.0,2025-10-29 11:00:00,2025-11-12 15:00:00,0,0,0.0,,,,0.0,4985.0,0,0,,No transactions during activation period
Week 3,"24,676, 24,675, 24,674",The Greats of Craft,LIC,"Spend $35 with Blackbird Pay, get $15 in $FLY back",35.0,15.0,2025-10-29 11:00:00,2025-11-12 15:00:00,0,0,0.0,,,,0.0,4985.0,0,0,,No transactions during activation period
Week 1,"24,680, 24,679, 24,678",The Greats of Craft,Midtown East,"Spend $35 with Blackbird Pay, get $15 in $FLY back",35.0,15.0,2025-10-29 11:00:00,2025-11-12 15:00:00,1,0,14.89,7.44,-95.3,-52.06,0.0,4985.0,1,0,100.0,
Week 2,"24,680, 24,679, 24,678",The Greats of Craft,Midtown East,"Spend $35 with Blackbird Pay, get $15 in $FLY back",35.0,15.0,2025-10-29 11:00:00,2025-11-12 15:00:00,0,0,0.0,,,,0.0,4985.0,0,0,,No transactions during activation period
Week 3,"24,680, 24,679, 24,678",The Greats of Craft,Midtown East,"Spend $35 with Blackbird Pay, get $15 in $FLY back",35.0,15.0,2025-10-29 11:00:00,2025-11-12 15:00:00,1,1,36.32,36.32,-89.36,115.93,15.0,4985.0,0,1,0.0,
Week 2,"25,851, 25,850, 25,849, 25,848, 25,847, 25,846, 25,845",The Little Pig,Boerum Hill,"Spend $75 with Blackbird Pay, get $30 in $FLY back",75.0,30.0,2025-11-07 11:30:00,2025-11-14 00:00:00,3,1,154.98,31.52,87.54,-61.86,30.0,4970.0,3,0,100.0,
Week 3,"25,851, 25,850, 25,849, 25,848, 25,847, 25,846, 25,845",The Little Pig,Boerum Hill,"Spend $75 with Blackbird Pay, get $30 in $FLY back",75.0,30.0,2025-11-07 11:30:00,2025-11-14 00:00:00,1,0,43.83,21.92,-46.96,-73.48,0.0,4970.0,1,0,100.0,
Week 1,"24,858, 24,857, 24,856",The Lost Draft,SoHo,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-11-02 08:00:00,2025-11-16 12:00:00,4,2,91.15,22.2,-61.0,156.2,20.0,2460.0,2,2,50.0,
Week 2,"24,858, 24,857, 24,856",The Lost Draft,SoHo,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-11-02 08:00:00,2025-11-16 12:00:00,2,2,60.41,30.2,-77.65,246.79,20.0,2460.0,1,1,50.0,
Week 3,"24,858, 24,857, 24,856",The Lost Draft,SoHo,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-11-02 08:00:00,2025-11-16 12:00:00,0,0,0.0,,,,0.0,2460.0,0,0,,No transactions during activation period
Week 1,"24,460, 24,459, 24,458, 24,457, 24,456",The Tusk Bar,NoMad,"Spend $100 with Blackbird Pay, get $50 in $FLY back",100.0,50.0,2025-10-27 17:00:00,2025-10-31 23:00:00,0,0,0.0,,,,0.0,1025.0,0,0,,No transactions during activation period
Week 2,"25,894, 25,893, 25,892, 25,891, 25,890, 25,889, 25,888",Third Time's The Charm,Red Hook,"Spend $75 with Blackbird Pay, get $25 in $FLY back",75.0,25.0,2025-11-08 16:00:00,2025-11-16 21:00:00,0,0,0.0,,,,0.0,0.0,0,0,,No transactions during activation period
Week 3,"25,894, 25,893, 25,892, 25,891, 25,890, 25,889, 25,888",Third Time's The Charm,Red Hook,"Spend $75 with Blackbird Pay, get $25 in $FLY back",75.0,25.0,2025-11-08 16:00:00,2025-11-16 21:00:00,2,2,377.26,56.5,184.77,-57.36,50.0,0.0,2,0,100.0,
Week 1,"24,435, 24,434, 24,433, 24,432, 24,431",Trapizzino,Trapizzino,"Spend $100 with Blackbird Pay, get $25 in $FLY back",100.0,25.0,2025-10-27 12:00:00,2025-11-01 00:00:00,2,1,255.69,127.84,-42.56,166.4,25.0,1025.0,1,1,50.0,
Week 1,"25,432, 25,431, 25,430",Uncork,Wraggborough,"Spend $45 with Blackbird Pay, get $15 in $FLY back",45.0,15.0,2025-11-02 12:00:00,2025-11-16 15:00:00,1,1,83.25,83.25,-78.22,132.8,15.0,4985.0,1,0,100.0,
Week 2,"25,432, 25,431, 25,430",Uncork,Wraggborough,"Spend $45 with Blackbird Pay, get $15 in $FLY back",45.0,15.0,2025-11-02 12:00:00,2025-11-16 15:00:00,0,0,0.0,,,,0.0,4985.0,0,0,,No transactions during activation period
Week 3,"25,432, 25,431, 25,430",Uncork,Wraggborough,"Spend $45 with Blackbird Pay, get $15 in $FLY back",45.0,15.0,2025-11-02 12:00:00,2025-11-16 15:00:00,0,0,0.0,,,,0.0,4985.0,0,0,,No transactions during activation period
Week 1,"25,442, 25,441, 25,440",Upstate Stock,Williamsburg,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-11-02 15:00:00,2025-11-16 19:00:00,2,1,61.24,6.3,-97.05,-16.4,10.0,2280.0,2,0,100.0,
Week 2,"25,442, 25,441, 25,440",Upstate Stock,Williamsburg,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-11-02 15:00:00,2025-11-16 19:00:00,4,2,80.06,19.7,-96.08,161.55,20.0,2280.0,1,3,25.0,
Week 3,"25,442, 25,441, 25,440",Upstate Stock,Williamsburg,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25.0,10.0,2025-11-02 15:00:00,2025-11-16 19:00:00,5,2,173.53,9.71,-91.98,28.95,20.0,2280.0,2,3,40.0,
Week 2,"25,685, 25,684, 25,683, 25,682, 25,681, 25,817",Upstate Stock,Williamsburg,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30.0,10.0,2025-11-03 07:30:00,2025-11-08 19:00:00,83,13,1708.71,7.11,-16.43,-5.58,150.0,2280.0,14,69,16.87,
Week 1,"22,556",Virginia's,East Village,"Spend $50 with Blackbird Pay, get $15 back in $FLY",50.0,15.0,2025-10-27 17:00:00,2025-10-27 22:30:00,2,2,106.7,53.35,,,30.0,2455.0,2,0,100.0,
Week 2,"25,755, 25,754, 25,753, 25,752",X-Golf,Williamsburg,"Spend $30 with Blackbird Pay, get $15 in $FLY back",30.0,15.0,2025-11-03 07:00:00,2025-11-14 19:00:00,1,1,111.53,111.53,-56.15,77.74,15.0,4955.0,1,0,100.0,
